symbol,avgMean,avgR,avgUV,avgS,avgM1,avgM3,avgM4,avgL,pctMean,pctR,pctUV,pctS,pctM1,pctM3,pctM4,pctL
si:ch211-79l17.1,0.0225610488396823,0.026154342912496,0,0.0121951219512195,0.0178571428571429,0.0273972602739726,0.0428571428571429,0.0314663310258024,2.24711450367514,2.6154342912496,0,1.21951219512195,1.78571428571429,2.73972602739726,4.28571428571429,3.08370044052863
gpib,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wtip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sdr42e1,0.000454221764436302,0.00129157248950597,0,0,0,0,0,0.00188797986154814,0.0454221764436302,0.129157248950597,0,0,0,0,0,0.188797986154814
nedd4a,0.00652286466996148,0.00742654181465935,0,0.0121951219512195,0.0178571428571429,0,0,0.00818124606670862,0.647673708105055,0.710364869228285,0,1.21951219512195,1.78571428571429,0,0,0.818124606670862
si:dkey-205h23.1,8.9903802930864E-05,0,0,0,0,0,0,0.000629326620516048,0.0089903802930864,0,0,0,0,0,0,0.0629326620516048
celf6,0.0172831028413968,0.0119470455279303,0,0.024390243902439,0,0,0.0714285714285714,0.013215859030837,1.72831028413968,1.19470455279303,0,2.4390243902439,0,0,7.14285714285714,1.3215859030837
fam219b,0.00131888907928897,0.00419761059089441,0,0,0,0,0,0.00503461296412838,0.131888907928897,0.419761059089441,0,0,0,0,0,0.503461296412838
cox5ab,0.811323070820628,0.380045205037133,1,0.914634146341463,0.732142857142857,0.780821917808219,0.714285714285714,1.15733165512901,53.6050543678157,30.481110752341,65,57.3170731707317,51.7857142857143,56.1643835616438,51.4285714285714,63.058527375708
parp6a,0.000998347331803469,0.00258314497901195,0,0,0,0,0,0.00440528634361234,0.0998347331803469,0.258314497901195,0,0,0,0,0,0.440528634361234
pkma,0.581276033477427,0.401679044236358,0.45,0.658536585365854,0.607142857142857,0.520547945205479,0.671428571428571,0.75959723096287,39.626763370708,31.3206328705199,35,48.780487804878,39.2857142857143,34.2465753424658,41.4285714285714,47.3253618628068
dhdh (1 of many),0.0174324353709928,0.0119470455279303,0.05,0,0,0.0136986301369863,0.0142857142857143,0.0320956576463184,1.71603725873092,1.13012592831773,5,0,0,1.36986301369863,1.42857142857143,3.08370044052863
dhdhl,0.00290548364138328,0.00290603810138844,0,0,0,0,0.0142857142857143,0.00314663310258024,0.290548364138328,0.290603810138844,0,0,0,0,1.42857142857143,0.314663310258024
hcn4,0.000138382766732783,0.00096867936712948,0,0,0,0,0,0,0.0138382766732783,0.096867936712948,0,0,0,0,0,0
cu469514.1,0.000495646603565248,0.000322893122376493,0,0,0,0,0,0.00314663310258024,0.0495646603565248,0.0322893122376493,0,0,0,0,0,0.314663310258024
si:ch1073-75f15.2,0.000272062783683583,0.000645786244752987,0,0,0,0,0,0.0012586532410321,0.0272062783683583,0.0645786244752987,0,0,0,0,0,0.12586532410321
nptnb,0.199219401404001,0.26703261220536,0.15,0.182926829268293,0.0892857142857143,0.205479452054795,0.228571428571429,0.271239773442417,17.9041716978718,22.8285437520181,15,18.2926829268293,8.92857142857143,19.1780821917808,18.5714285714286,22.5298930144745
pigb,0.0114677342295464,0.00936390054891831,0,0,0.0178571428571429,0.0410958904109589,0,0.0119572057898049,1.14677342295464,0.936390054891831,0,0,1.78571428571429,4.10958904109589,0,1.19572057898049
rab27a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unc13c,0.000272062783683583,0.000645786244752987,0,0,0,0,0,0.0012586532410321,0.0272062783683583,0.0645786244752987,0,0,0,0,0,0.12586532410321
ugt5f1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pepd,0.0241382221050932,0.0335808847271553,0,0.0121951219512195,0.0357142857142857,0.0410958904109589,0.0142857142857143,0.0320956576463184,2.39537117494495,3.22893122376493,0,1.21951219512195,3.57142857142857,4.10958904109589,1.42857142857143,3.20956576463184
mgam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slitrk3 (1 of many),4.61275889109276E-05,0.000322893122376493,0,0,0,0,0,0,0.00461275889109276,0.0322893122376493,0,0,0,0,0,0
p2ry2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
relt,0.00438772070229704,0.00258314497901195,0,0,0,0,0.0142857142857143,0.0138451856513531,0.438772070229704,0.258314497901195,0,0,0,0,1.42857142857143,1.38451856513531
si:ch211-248g20.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pygo1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dyx1c1,4.61275889109276E-05,0.000322893122376493,0,0,0,0,0,0,0.00461275889109276,0.0322893122376493,0,0,0,0,0,0
ccpg1,0.000179807605861728,0,0,0,0,0,0,0.0012586532410321,0.0179807605861728,0,0,0,0,0,0,0.12586532410321
aqp11,0.0228560660976518,0.0193735873425896,0,0.0365853658536585,0.0178571428571429,0.0273972602739726,0.0285714285714286,0.0302076777847703,2.25840033139682,1.87278010978366,0,3.65853658536585,1.78571428571429,2.73972602739726,2.85714285714286,2.89490245437382
clns1a,0.0241387382588597,0.0542460445592509,0,0.024390243902439,0.0178571428571429,0.0136986301369863,0.0285714285714286,0.0302076777847703,2.35414309779086,5.06942202131095,0,2.4390243902439,1.78571428571429,1.36986301369863,2.85714285714286,2.95783511642542
rsf1a,0.00799015057891047,0.0180820148530836,0,0,0.0178571428571429,0.0136986301369863,0,0.00629326620516048,0.794402298999954,1.77591217307071,0,0,1.78571428571429,1.36986301369863,0,0.629326620516048
aamdc,0.0320106576566097,0.0184049079754601,0.1,0.0365853658536585,0.0178571428571429,0,0.0285714285714286,0.0226557583385777,3.1784722461837,1.80820148530836,10,3.65853658536585,1.78571428571429,0,2.85714285714286,2.13971050975456
ints4,0.00634540843899074,0.00807232805941233,0,0.0121951219512195,0.0178571428571429,0,0,0.00629326620516048,0.625550463605988,0.807232805941233,0,1.21951219512195,1.78571428571429,0,0,0.566393958464443
rps3,0.538504209291885,0.642234420406845,0.55,0.658536585365854,0.482142857142857,0.465753424657534,0.442857142857143,0.528005034612964,41.7831211031376,37.5201808201485,55,45.1219512195122,41.0714285714286,34.2465753424658,40,39.5217117684078
snord15,0.00756492274220578,0.00581207620277688,0,0,0.0178571428571429,0.0273972602739726,0,0.00188797986154814,0.756492274220578,0.581207620277688,0,0,1.78571428571429,2.73972602739726,0,0.188797986154814
cu570791.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
myo7aa,0.00490794982935755,0.000322893122376493,0,0.0121951219512195,0,0,0.0142857142857143,0.00755191944619257,0.490794982935755,0.0322893122376493,0,1.21951219512195,0,0,1.42857142857143,0.755191944619257
gdpd4a,0.00272230517478445,0.000322893122376493,0,0,0,0.0136986301369863,0,0.00503461296412838,0.272230517478445,0.0322893122376493,0,0,0,1.36986301369863,0,0.503461296412838
pak1,0.0199152846073687,0.0238940910558605,0.05,0,0,0,0.0428571428571429,0.0226557583385777,1.76461817111745,2.2925411688731,5,0,0,0,2.85714285714286,2.20264317180617
capn5a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
